01|01| 1|Dr.|Kóka                                              |János                                   |0015379|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|01| 4|Dr.|Nagy                                              |Gábor Tamás                             |0016880|02|FIDESZ,KDNP                                                 
01|01| 5|Dr.|Vaskor                                            |László                                  |0000762|01|MDF                                                         
01|02| 3|Dr.|Balsai                                            |István                                  |0020986|02|FIDESZ,KDNP                                                 
01|02| 4|   |Horváth                                           |Csaba                                   |0019178|01|MSZP                                                        
01|03| 2|   |Menczer                                           |Erzsébet                                |0012633|02|FIDESZ,KDNP                                                 
01|03| 3|Dr.|Orosz                                             |Sándor                                  |0019390|01|MSZP                                                        
01|04| 2|   |Bús                                               |Balázs                                  |0016806|02|FIDESZ,KDNP                                                 
01|04| 3|   |Donáth                                            |László                                  |0023760|01|MSZP                                                        
01|07| 2|Dr.|Petõ                                              |Iván                                    |0012828|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|07| 3|   |Rogán                                             |Antal                                   |0010470|02|FIDESZ,KDNP                                                 
01|08| 4|Dr.|Illés                                             |Zoltán                                  |0009546|02|FIDESZ,KDNP                                                 
01|08| 5|Dr.|Kékesi                                            |Tibor                                   |0011772|01|MSZP                                                        
01|09| 1|   |Filló                                             |Pál                                     |0012650|01|MSZP                                                        
01|09| 2|Dr.|Kecskés                                           |Gusztáv                                 |0008600|02|FIDESZ,KDNP                                                 
01|10| 1|Dr.|Fónagy                                            |János                                   |0008153|02|FIDESZ,KDNP                                                 
01|10| 3|Dr.|Szabó                                             |Zoltán                                  |0010924|01|MSZP                                                        
01|11| 2|   |Beke                                              |Pál                                     |0009053|02|FIDESZ,KDNP                                                 
01|11| 5|   |Hárs                                              |Gábor                                   |0013368|01|MSZP                                                        
01|12| 1|Dr.|Gegesy                                            |Ferenc                                  |0010981|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|12| 5|   |Zombory                                           |Miklós                                  |0008592|02|FIDESZ,KDNP                                                 
01|15| 2|   |Deák                                              |András                                  |0013066|02|FIDESZ,KDNP                                                 
01|15| 6|   |Szabó                                             |Vilmos                                  |0011883|01|MSZP                                                        
01|16| 3|   |Kristóf                                           |József                                  |0012391|02|FIDESZ,KDNP                                                 
01|16| 4|   |Molnár                                            |Gyula                                   |0017565|01|MSZP                                                        
01|17| 2|Dr.|Józsa                                             |István                                  |0014019|01|MSZP                                                        
01|17| 3|Dr.|Kupper                                            |András                                  |0012786|02|FIDESZ,KDNP                                                 
01|18| 1|   |Hagyó                                             |Miklós                                  |0017384|01|MSZP                                                        
01|18| 3|   |Pokorni                                           |Zoltán                                  |0020971|02|FIDESZ,KDNP                                                 
01|19| 2|Dr.|Kosztolányi                                       |Dénes                                   |0008283|02|FIDESZ,KDNP                                                 
01|19| 4|Dr.|Szanyi                                            |Tibor                                   |0017766|01|MSZP                                                        
01|21| 1|Dr.|Baráth                                            |Etele                                   |0018192|01|MSZP                                                        
01|21| 3|   |Rátonyi                                           |Gábor                                   |0013768|02|FIDESZ,KDNP                                                 
01|22| 2|Dr.|Csiha                                             |Judit                                   |0021417|01|MSZP                                                        
01|22| 4|   |Kulcsár                                           |József                                  |0012517|02|FIDESZ,KDNP                                                 
01|24| 3|   |Tirts                                             |Tamás                                   |0018770|02|FIDESZ,KDNP                                                 
01|24| 4|Dr.|Vidorné Dr. Szabó                                 |Györgyi                                 |0022520|01|MSZP                                                        
01|25| 1|   |Alexa                                             |György                                  |0026048|01|MSZP                                                        
01|25| 7|   |Riz                                               |Levente                                 |0018641|02|FIDESZ,KDNP                                                 
01|32| 2|   |Lendvai                                           |Ildikó                                  |0016600|01|MSZP                                                        
01|32| 3|   |Németh                                            |Zoltán                                  |0013622|02|FIDESZ,KDNP                                                 
02|01| 2|   |Bókay                                             |Endre                                   |0018690|01|MSZP                                                        
02|01| 5|Dr.|Páva                                              |Zsolt                                   |0013650|02|FIDESZ,KDNP                                                 
02|05| 3|Dr.|Hargitai                                          |János                                   |0018003|02|FIDESZ,KDNP                                                 
02|05| 5|Dr.|Nyul                                              |István                                  |0014251|01|MSZP                                                        
02|06| 4|   |Kékkõi                                            |Zoltán József                           |0013545|02|FIDESZ,KDNP                                                 
02|06| 5|   |Kocsi                                             |László                                  |0014369|01|MSZP                                                        
02|07| 2|   |Paizs                                             |József                                  |0012767|01|MSZP                                                        
02|07| 4|   |Pichler                                           |Imre                                    |0009712|02|FIDESZ,KDNP                                                 
03|01| 1|Dr.|Balogh                                            |László                                  |0014922|02|MSZP,SZDSZ-A MAGYAR LIBERÁLIS PÁRT                          
03|01| 2|   |Gavaldi                                           |István                                  |0000918|01|MDF                                                         
03|01| 4|   |Nyitray                                           |András                                  |0015769|02|FIDESZ,KDNP                                                 
03|02| 1|Dr.|Györfi                                            |Attila Gábor                            |0000647|01|MDF                                                         
03|02| 2|Dr.|Horváth                                           |Zsolt                                   |0011356|02|FIDESZ,KDNP                                                 
03|02| 3|Dr.|Szécsi                                            |Gábor                                   |0011162|02|SZDSZ-A MAGYAR LIBERÁLIS PÁRT,MSZP                          
03|05| 2|   |Endre                                             |Sándor                                  |0011922|02|FIDESZ,KDNP                                                 
03|05| 4|Dr.|Garai                                             |István Levente                          |0011996|01|MSZP                                                        
03|07| 1|   |Alföldi                                           |Albert                                  |0013531|01|MSZP                                                        
03|07| 4|Dr.|Semjén                                            |Zsolt                                   |0014887|02|FIDESZ,KDNP                                                 
